EventID,Station,PGA,P-wave Marker Sample,Latitude,Longitude,Depth,1% g,2% g,5% g,10% g,20% g
2024-02-23T074628_5.3,PBSI,-1.492842229,1350,-0.0547,98.28,-0.047,2585,0,0,0,0
2024-02-23T074628_5.3,PDSI,-2.537044278,3260,-0.9118,100.4617,-0.2756,0,0,0,0,0
2024-02-23T074628_5.3,PLSI,-2.436564964,3740,0.23729,100.55398,-0.133,0,0,0,0,0
2024-02-23T074628_5.3,PPI,-2.865549749,3130,-0.455476,100.397217,-0.7836,0,0,0,0,0
2024-02-23T074628_5.3,PPSI,-3.157530033,3960,-2.766,100.01,-0.006,0,0,0,0,0
2024-02-23T074628_5.3,PPSN,-2.394276479,3992,-1.35,100.579,-0.006,0,0,0,0,0
2024-02-23T074628_5.3,PRSI,-1.994765449,5520,0.37,102.17,0,0,0,0,0,0
2024-02-23T074628_5.3,PRSN,-1.973599889,3040,-0.7856,100.3048,-0.016,0,0,0,0,0
2024-02-23T074628_5.3,RASM,-2.390853579,4670,-2.1655,101.0708,-0.1,0,0,0,0,0
2024-02-23T074628_5.3,RMSM,-3.030214143,6950,-2.62326,102.7617,-0.056,0,0,0,0,0
2024-02-23T074628_5.3,RRHRI,-0.806988733,3729,0.571374,100.427397,-0.092,3868,7026,0,0,0
2024-02-23T074628_5.3,RRSI,-2.408553117,3790,0.84096,100.34611,-0.078,0,0,0,0,0
2024-02-23T074628_5.3,SBSM,-1.576949274,2100,0.1983,99.3775,-0.001,0,0,0,0,0
2024-02-23T074628_5.3,SDSI,-2.933822267,4720,-0.9325,101.428,-0.21332,0,0,0,0,0
2024-02-23T074628_5.3,SIRSI,-2.84594654,5050,0.86,101.66,0,0,0,0,0,0
2024-02-23T074628_5.3,SIUMI,0.3486350931058865,1380,-1.126,98.98,-0.009,1668,1708,2646,2745,0
2024-02-23T074628_5.3,SKSM,-2.359782672,4860,-1.946,101.3497,-0.956,0,0,0,0,0
2024-02-23T074628_5.3,SLSI,-3.728708745,6670,-2.3924,102.5927,-0.07683,0,0,0,0,0
2024-02-23T074628_5.3,SLSM,-2.341224407,3520,-0.83132,100.65342,-0.389,0,0,0,0,0
2024-02-23T074628_5.3,SMSM,-2.227443807,3040,-0.005923,100.17103,-0.361,0,0,0,0,0
2024-02-23T074628_5.3,SSSM,-2.497149462,4560,-1.56407,101.23747,-0.563,0,0,0,0,0
2024-02-23T074628_5.3,TASI,-1.805954344,2960,-0.3241,100.0791,-0.025,0,0,0,0,0
2024-02-23T074628_5.3,TDNI,-1.667806475,2530,0.574382,97.819617,-0.059,0,0,0,0,0
2024-02-23T074628_5.3,TRIYO,-2.407485571,2940,-2.0601,99.583,-0.088,0,0,0,0,0
2024-02-23T074628_5.3,TTSM,-2.032869954,3300,1.0856,99.4108,-0.173,0,0,0,0,0
2024-02-23T074628_5.3,ULSM,-3.271917183,7859,-3.7588,102.7941,-0.284,0,0,0,0,0
2024-02-23T074628_5.3,UMKSI,-1.736152953,7370,-3.59,102.548,-0.709,0,0,0,0,0
2024-02-23T074628_5.3,UTSM,-3.108108504,8050,-4.08339,102.72849,-0.113,0,0,0,0,0
2024-01-27T165058_4.6,ABSM,-4.999597473,5370,-3.4254,102.26295,-0.38,0,0,0,0,0
2024-01-27T165058_4.6,BKASI,-0.334060964,860,-0.202,100.318,-0.853,209,1090,0,0,0
2024-01-27T165058_4.6,BKNI,-3.405856261,1930,0.3262,101.0396,-0.065,0,0,0,0,0
2024-01-27T165058_4.6,BMSI,-2.400225796,3990,-2.06641,102.31544,-0.135,0,0,0,0,0
2024-01-27T165058_4.6,BPSM,-1.69693241,1090,-1.1924,100.58998,-0.11,0,0,0,0,0
2024-01-27T165058_4.6,GSI,-5.933339406,5500,1.3039,97.5755,-0.107,0,0,0,0,0
2024-01-27T165058_4.6,GTSI,-2.042771804,1760,-0.5981,101.4888,-0.009,0,0,0,0,0
2024-01-27T165058_4.6,JASI,-1.614800815,2210,-1.41453,101.45838,-0.253,0,0,0,0,0
2024-01-27T165058_4.6,JMSI,-2.742439846,4260,-2.63715,101.88745,-1.275,0,0,0,0,0
2024-01-27T165058_4.6,JPSI,-1.8280791,1350,-1.34164,100.58645,-0.038,0,0,0,0,0
2024-01-27T165058_4.6,KRJI,-2.321185304,3250,-2.0912,101.4619,-0.81088,0,0,0,0,0
2024-01-27T165058_4.6,LBTSI,0.23354316534767092,310,-0.475,100.625,-0.417,356,380,604,610,0
2024-01-27T165058_4.6,LPSM,-2.226656314,2110,-1.7082,100.7196,-0.11,0,0,0,0,0
2024-01-27T165058_4.6,MBBI,-2.262992295,3260,-1.5406,102.0984,-0.113,0,0,0,0,0
2024-01-27T165058_4.6,MBSM,-3.419806404,4650,-3.1451,101.8374,-0.037,0,0,0,0,0
2024-01-27T165058_4.6,MKBI,-3.047424699,3390,-2.4474,101.2396,-0.04821,0,0,0,0,0
2024-01-27T165058_4.6,MPSM,-2.207045226,2260,0.5891,100.1383,-0.195,0,0,0,0,0
2024-01-27T165058_4.6,PAPA,-0.298626537,350,-0.466,100.379,-0.726,410,679,688,0,0
2024-01-27T165058_4.6,PASC,-1.748623831,420,-0.545,100.29,-0.13,0,0,0,0,0
2024-01-27T165058_4.6,PASMI,-2.278606772,4090,-2.9646,100.2028,-0.039,0,0,0,0,0
2024-01-27T165058_4.6,PBSI,-4.048690406,3910,-0.0547,98.28,-0.047,0,0,0,0,0
2024-01-27T165058_4.6,PDSI,-1.593402268,560,-0.9118,100.4617,-0.2756,0,0,0,0,0
2024-01-27T165058_4.6,PLSI,-2.475768799,1530,0.23729,100.55398,-0.133,0,0,0,0,0
2024-01-27T165058_4.6,PPI,-1.52023476,350,-0.455476,100.397217,-0.7836,0,0,0,0,0
2024-01-27T165058_4.6,PPSI,-3.823877938,3810,-2.766,100.01,-0.006,0,0,0,0,0
2024-01-27T165058_4.6,PRSI,-1.484227652,3040,0.37,102.17,0,5551,0,0,0,0
2024-01-27T165058_4.6,PRSN,-1.150393065,530,-0.7856,100.3048,-0.016,1034,0,0,0,0
2024-01-27T165058_4.6,RASM,-2.444084705,2820,-2.1655,101.0708,-0.1,0,0,0,0,0
2024-01-27T165058_4.6,RGRI,-2.427088426,3200,-0.3491,102.3338,-0.04093,0,0,0,0,0
2024-01-27T165058_4.6,RRHRI,-0.969550454,2120,0.571374,100.427397,-0.092,2225,0,0,0,0
2024-01-27T165058_4.6,RRSI,-2.379743119,2610,0.84096,100.34611,-0.078,0,0,0,0,0
2024-01-27T165058_4.6,SBSM,-2.421838178,2480,0.1983,99.3775,-0.001,0,0,0,0,0
2024-01-27T165058_4.6,SDSI,-1.558835743,1689,-0.9325,101.428,-0.21332,0,0,0,0,0
2024-01-27T165058_4.6,SIRSI,-2.782947407,2850,0.86,101.66,0,0,0,0,0,0
2024-01-27T165058_4.6,SISMI,-1.345744465,3150,-1.7806,99.14018,-0.039,5615,0,0,0,0
2024-01-27T165058_4.6,SIUMI,-1.067111264,2820,-1.126,98.98,-0.009,5303,0,0,0,0
2024-01-27T165058_4.6,SKSM,-2.344750708,2880,-1.946,101.3497,-0.956,0,0,0,0,0
2024-01-27T165058_4.6,SLSI,-3.173016227,4530,-2.3924,102.5927,-0.07683,0,0,0,0,0
2024-01-27T165058_4.6,SLSM,-0.899994075,550,-0.83132,100.65342,-0.389,1061,1090,0,0,0
2024-01-27T165058_4.6,SMSM,-2.342749742,1310,-0.005923,100.17103,-0.361,0,0,0,0,0
2024-01-27T165058_4.6,SNBI,-3.49932089,5430,0.963245,97.429538,-0.004,0,0,0,0,0
2024-01-27T165058_4.6,SSSM,-1.557484968,2190,-1.56407,101.23747,-0.563,0,0,0,0,0
2024-01-27T165058_4.6,STSI,-2.523144537,3260,-2.38874,101.04783,-0.016,0,0,0,0,0
2024-01-27T165058_4.6,TDNI,-3.517309788,4910,0.574382,97.819617,-0.059,0,0,0,0,0
2024-01-27T165058_4.6,TMSM,-2.699843179,3840,-2.69954,101.44633,-0.118,0,0,0,0,0
2024-01-27T165058_4.6,TRIYO,-2.777638249,2960,-2.0601,99.583,-0.088,0,0,0,0,0
2024-01-27T165058_4.6,TTSM,-3.564758545,3640,1.0856,99.4108,-0.173,0,0,0,0,0
2024-01-27T165058_4.6,UMKSI,-2.355406275,6489,-3.59,102.548,-0.709,0,0,0,0,0
2024-01-27T165058_4.6,UTSM,-3.843424023,7437,-4.08339,102.72849,-0.113,0,0,0,0,0
2024-01-08T095132_5.0,APSSI,-2.14615833,4990,-3.932,102.465,-0.226,0,0,0,0,0
2024-01-08T095132_5.0,BKASI,-0.948658759,3450,-0.202,100.318,-0.853,4344,0,0,0,0
2024-01-08T095132_5.0,BKNI,-3.871360584,4520,0.3262,101.0396,-0.065,0,0,0,0,0
2024-01-08T095132_5.0,BMSI,-2.442077858,4210,-2.06641,102.31544,-0.135,0,0,0,0,0
2024-01-08T095132_5.0,BPSM,-1.581214376,2280,-1.1924,100.58998,-0.11,0,0,0,0,0
2024-01-08T095132_5.0,GSI,-5.479754599,6100,1.3039,97.5755,-0.107,0,0,0,0,0
2024-01-08T095132_5.0,GTSI,-1.994671774,3929,-0.5981,101.4888,-0.009,0,0,0,0,0
2024-01-08T095132_5.0,HINSI,-1.784954744,3379,-0.54,98.499,-0.035,0,0,0,0,0
2024-01-08T095132_5.0,JASI,-2.008387835,3210,-1.41453,101.45838,-0.253,0,0,0,0,0
2024-01-08T095132_5.0,JMSI,-2.156741255,3550,-2.63715,101.88745,-1.275,0,0,0,0,0
2024-01-08T095132_5.0,JPSI,-1.731765658,2110,-1.34164,100.58645,-0.038,0,0,0,0,0
2024-01-08T095132_5.0,KRJI,-1.708831429,2950,-2.0912,101.4619,-0.81088,0,0,0,0,0
2024-01-08T095132_5.0,LBTSI,-1.377814464,3290,-0.475,100.625,-0.417,6751,0,0,0,0
2024-01-08T095132_5.0,LLSI,-2.633141095,5240,-3.27843,102.9139,-0.129,0,0,0,0,0
2024-01-08T095132_5.0,LPSM,-1.513391213,2070,-1.7082,100.7196,-0.11,0,0,0,0,0
2024-01-08T095132_5.0,LTNSI,-1.88710707,6300,1.336,97.32,-0.052,0,0,0,0,0
2024-01-08T095132_5.0,MBBI,-2.629100097,4010,-1.5406,102.0984,-0.113,0,0,0,0,0
2024-01-08T095132_5.0,MKBI,-2.077788321,2620,-2.4474,101.2396,-0.04821,0,0,0,0,0
2024-01-08T095132_5.0,MPSM,-3.142340704,4420,0.5891,100.1383,-0.195,0,0,0,0,0
2024-01-08T095132_5.0,PABI,-2.345640192,3700,0.1236,99.8719,-0.155,0,0,0,0,0
2024-01-08T095132_5.0,PASC,-2.354067549,2930,-0.545,100.29,-0.13,0,0,0,0,0
2024-01-08T095132_5.0,PASMI,-0.516604659,1720,-2.9646,100.2028,-0.039,2197,3148,0,0,0
2024-01-08T095132_5.0,PBSI,-3.66382509,4070,-0.0547,98.28,-0.047,0,0,0,0,0
2024-01-08T095132_5.0,PDSI,-2.323635305,2550,-0.9118,100.4617,-0.2756,0,0,0,0,0
2024-01-08T095132_5.0,PLSI,-2.853291898,4160,0.23729,100.55398,-0.133,0,0,0,0,0
2024-01-08T095132_5.0,PPI,-3.075298419,3150,-0.455476,100.397217,-0.7836,0,0,0,0,0
2024-01-08T095132_5.0,PPSI,-1.920975297,1330,-2.766,100.01,-0.006,0,0,0,0,0
2024-01-08T095132_5.0,PRSI,-2.098149083,5240,0.37,102.17,0,0,0,0,0,0
2024-01-08T095132_5.0,PRSN,-2.006178476,2650,-0.7856,100.3048,-0.016,0,0,0,0,0
2024-01-08T095132_5.0,RASM,-1.619387962,2330,-2.1655,101.0708,-0.1,0,0,0,0,0
2024-01-08T095132_5.0,RGRI,-2.463944735,5080,-0.3491,102.3338,-0.04093,0,0,0,0,0
2024-01-08T095132_5.0,RMSM,-2.918710174,4860,-2.62326,102.7617,-0.056,0,0,0,0,0
2024-01-08T095132_5.0,RRHRI,-0.882757596,4510,0.571374,100.427397,-0.092,7774,11411,0,0,0
2024-01-08T095132_5.0,RRSI,-2.330435902,4840,0.84096,100.34611,-0.078,0,0,0,0,0
2024-01-08T095132_5.0,SBSM,-2.381862612,3750,0.1983,99.3775,-0.001,0,0,0,0,0
2024-01-08T095132_5.0,SDSI,-2.254539939,3540,-0.9325,101.428,-0.21332,0,0,0,0,0
2024-01-08T095132_5.0,SIRSI,-2.696486156,5320,0.86,101.66,0,0,0,0,0,0
2024-01-08T095132_5.0,SISMI,-0.270438249,1450,-1.7806,99.14018,-0.039,1789,2659,2774,0,0
2024-01-08T095132_5.0,SIUMI,-0.80764576,2340,-1.126,98.98,-0.009,4218,4264,0,0,0
2024-01-08T095132_5.0,SKSM,-1.78609316,2750,-1.946,101.3497,-0.956,0,0,0,0,0
2024-01-08T095132_5.0,SLSI,-3.318034381,4540,-2.3924,102.5927,-0.07683,0,0,0,0,0
2024-01-08T095132_5.0,SLSM,-1.871388779,2880,-0.83132,100.65342,-0.389,0,0,0,0,0
2024-01-08T095132_5.0,SMSM,-2.891284483,3640,-0.005923,100.17103,-0.361,0,0,0,0,0
2024-01-08T095132_5.0,SNBI,-3.077297994,5740,0.963245,97.429538,-0.004,0,0,0,0,0
2024-01-08T095132_5.0,SSSM,-1.907271496,2760,-1.56407,101.23747,-0.563,0,0,0,0,0
2024-01-08T095132_5.0,STSI,-1.721443277,2360,-2.38874,101.04783,-0.016,0,0,0,0,0
2024-01-08T095132_5.0,TASI,-2.396876593,3260,-0.3241,100.0791,-0.025,0,0,0,0,0
2024-01-08T095132_5.0,TDNI,-3.176754941,5160,0.574382,97.819617,-0.059,0,0,0,0,0
2024-01-08T095132_5.0,TMSM,-1.629796522,2940,-2.69954,101.44633,-0.118,0,0,0,0,0
2024-01-08T095132_5.0,TRIYO,-0.873392232,760,-2.0601,99.583,-0.088,1323,1393,0,0,0
2024-01-08T095132_5.0,TTSM,-3.265350348,5040,1.0856,99.4108,-0.173,0,0,0,0,0
2024-01-08T095132_5.0,ULSM,-3.091353817,5300,-3.7588,102.7941,-0.284,0,0,0,0,0
2024-01-08T095132_5.0,UTSM,-3.063181859,5130,-4.08339,102.72849,-0.113,0,0,0,0,0
